place_id,name,country,city,category,latitude,longitude
92,Harry's Bar,Italy,Rome,Attraction,41.909077,12.488319
93,,Italy,Rome,Attraction,41.919762,12.460955
94,,Italy,Rome,Attraction,41.930168,12.399105
95,,Italy,Rome,Attraction,41.929675,12.398602
96,,Italy,Rome,Attraction,41.92948,12.398398
97,,Italy,Rome,Attraction,41.861071,12.46862
98,,Italy,Rome,Attraction,41.861063,12.465131
99,,Italy,Rome,Attraction,41.860996,12.466631
100,,Italy,Rome,Attraction,41.861102,12.464105
101,,Italy,Rome,Attraction,41.860967,12.466081
102,,Italy,Rome,Attraction,41.861021,12.467344
103,,Italy,Rome,Attraction,41.860913,12.464999
104,,Italy,Rome,Attraction,41.861037,12.467702
105,,Italy,Rome,Attraction,41.86112,12.466415
106,,Italy,Rome,Attraction,41.861014,12.464474
107,,Italy,Rome,Attraction,41.861063,12.468245
108,,Italy,Rome,Attraction,41.861174,12.467493
109,,Italy,Rome,Attraction,41.861008,12.466978
110,,Italy,Rome,Attraction,41.861112,12.464637
111,,Italy,Rome,Attraction,41.861136,12.46678
112,,Italy,Rome,Attraction,41.860993,12.466436
113,,Italy,Rome,Attraction,41.861089,12.46567
114,,Italy,Rome,Attraction,41.860926,12.465521
115,,Italy,Rome,Attraction,41.861071,12.468794
116,,Italy,Rome,Attraction,41.861066,12.464971
117,,Italy,Rome,Attraction,41.860936,12.464783
118,,Italy,Rome,Attraction,41.861156,12.467114
119,,Italy,Rome,Attraction,41.860946,12.4659
120,,Italy,Rome,Attraction,41.8612,12.467664
121,,Italy,Rome,Attraction,41.861047,12.467883
122,,Italy,Rome,Attraction,41.861115,12.466217
123,,Italy,Rome,Attraction,41.861047,12.464283
124,,Italy,Rome,Attraction,41.861073,12.468429
125,,Italy,Rome,Attraction,41.861078,12.465497
126,,Italy,Rome,Attraction,41.860996,12.466794
127,,Italy,Rome,Attraction,41.861138,12.466575
128,,Italy,Rome,Attraction,41.860985,12.466255
129,,Italy,Rome,Attraction,41.860923,12.46534
130,,Italy,Rome,Attraction,41.861029,12.467521
131,,Italy,Rome,Attraction,41.861073,12.464818
132,,Italy,Rome,Attraction,41.860977,12.464609
133,,Italy,Rome,Attraction,41.861164,12.467305
134,,Italy,Rome,Attraction,41.861021,12.467152
135,,Italy,Rome,Attraction,41.861151,12.466947
136,,Italy,Rome,Attraction,41.861053,12.468074
137,,Italy,Rome,Attraction,41.861102,12.465876
138,,Italy,Rome,Attraction,41.860933,12.465719
139,,Italy,Rome,Attraction,41.87397,12.476595
140,,Italy,Rome,Attraction,41.874277,12.477057
141,,Italy,Rome,Attraction,41.874586,12.477475
142,,Italy,Rome,Attraction,41.874436,12.47751
143,,Italy,Rome,Attraction,41.874361,12.477149
144,,Italy,Rome,Attraction,41.874453,12.477306
145,,Italy,Rome,Attraction,41.874054,12.476983
146,,Italy,Rome,Attraction,41.873895,12.476503
147,,Italy,Rome,Attraction,41.874222,12.476965
148,,Italy,Rome,Attraction,41.874723,12.479036
149,,Italy,Rome,Attraction,41.874486,12.47762
150,,Italy,Rome,Attraction,41.874972,12.478109
151,,Italy,Rome,Attraction,41.873778,12.476296
152,,Italy,Rome,Attraction,41.874008,12.476915
153,,Italy,Rome,Attraction,41.874173,12.477143
154,,Italy,Rome,Attraction,41.874407,12.477667
155,,Italy,Rome,Attraction,41.87484,12.479064
156,,Italy,Rome,Attraction,41.87382,12.476382
157,,Italy,Rome,Attraction,41.874178,12.476891
158,,Italy,Rome,Attraction,41.873838,12.476639
159,,Italy,Rome,Attraction,41.874369,12.47781
160,,Italy,Rome,Attraction,41.874923,12.478014
161,,Italy,Rome,Attraction,41.873679,12.476044
162,,Italy,Rome,Attraction,41.873741,12.47621
163,,Italy,Rome,Attraction,41.874524,12.477401
164,,Italy,Rome,Attraction,41.874261,12.477261
165,,Italy,Rome,Attraction,41.874354,12.477419
166,,Italy,Rome,Attraction,41.874063,12.476749
167,,Italy,Rome,Attraction,41.875627,12.471678
168,,Italy,Rome,Attraction,41.874941,12.478371
169,,Italy,Rome,Attraction,41.875491,12.479499
170,,Italy,Rome,Attraction,41.875301,12.480596
171,,Italy,Rome,Attraction,41.875491,12.479196
172,,Italy,Rome,Attraction,41.874973,12.48054
173,,Italy,Rome,Attraction,41.875851,12.479961
174,,Italy,Rome,Attraction,41.874658,12.477514
175,,Italy,Rome,Attraction,41.875533,12.479598
176,,Italy,Rome,Attraction,41.875192,12.480579
177,,Italy,Rome,Attraction,41.875443,12.479093
178,,Italy,Rome,Attraction,41.875668,12.479564
179,,Italy,Rome,Attraction,41.875813,12.479879
180,,Italy,Rome,Attraction,41.875121,12.47844
181,,Italy,Rome,Attraction,41.8756,12.479745
182,,Italy,Rome,Attraction,41.875336,12.479209
183,,Italy,Rome,Attraction,41.875391,12.478985
184,,Italy,Rome,Attraction,41.875565,12.479343
185,,Italy,Rome,Attraction,41.875092,12.478367
186,,Italy,Rome,Attraction,41.875304,12.478799
187,,Italy,Rome,Attraction,41.875375,12.479291
188,,Italy,Rome,Attraction,41.875343,12.478889
189,,Italy,Rome,Attraction,41.875598,12.479417
190,,Italy,Rome,Attraction,41.875044,12.47828
191,,Italy,Rome,Attraction,41.875272,12.478734
192,,Italy,Rome,Attraction,41.875758,12.479771
193,,Italy,Rome,Attraction,41.875086,12.478701
194,,Italy,Rome,Attraction,41.875533,12.479291
195,,Italy,Rome,Attraction,41.875137,12.478799
196,,Italy,Rome,Attraction,41.875224,12.478643
197,,Italy,Rome,Attraction,41.874802,12.48051
198,,Italy,Rome,Attraction,41.8757,12.479966
199,,Italy,Rome,Attraction,41.875002,12.478483
200,,Italy,Rome,Attraction,41.875423,12.479369
201,,Italy,Rome,Attraction,41.875735,12.480069
202,,Italy,Rome,Attraction,41.875172,12.478561
203,,Italy,Rome,Attraction,41.874908,12.480519
204,,Italy,Rome,Attraction,41.875896,12.480048
205,,Italy,Rome,Attraction,41.873481,12.469091
206,,Italy,Rome,Attraction,41.873474,12.469163
207,,Italy,Rome,Attraction,41.873483,12.469003
208,,Italy,Rome,Attraction,41.863958,12.481383
209,,Italy,Rome,Attraction,41.863865,12.48041
210,,Italy,Rome,Attraction,41.863889,12.480048
211,,Italy,Rome,Attraction,41.865474,12.481738
212,,Italy,Rome,Attraction,41.86248,12.48223
213,,Italy,Rome,Attraction,41.861348,12.48178
214,,Italy,Rome,Attraction,41.8634,12.482043
215,,Italy,Rome,Attraction,41.863868,12.480314
216,,Italy,Rome,Attraction,41.866538,12.481689
217,,Italy,Rome,Attraction,41.866228,12.482283
218,,Italy,Rome,Attraction,41.864787,12.481605
219,,Italy,Rome,Attraction,41.861364,12.481658
220,,Italy,Rome,Attraction,41.866355,12.482019
221,,Italy,Rome,Attraction,41.862145,12.482058
